,State,District,Year,Season,Crop,Area,Production,Avg_Temperature,rainfall,Avg_windspeed,Avg_pressure,Avg_humidity,Avg_uvindex,sunhours,
0,Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Rice,3.5,10,,,,,,,,
1,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Rice,6791,20118,,,,,,,,
2,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Rice,1595.5,3788,,,,,,,,
3,Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Rice,34973,102007,27.5,226.38,12.625,1007.075,70,5.5,1046.5,
4,Andhra Pradesh,ANANTAPUR,2010,Rabi       ,Rice,24828,69394,25.5,163.01,9.88,1010.533,59.66,6.33,420,
5,Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Rice,37720,94531,28,175.21,19.35,1007.325,62.25,24.33,1023,
6,Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Rice,10948,25542,26.33,77.34,193.31,1011.35,53.166,6.83,422.5,
7,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Rice,22056,58691,28,126.28,75,1007.55,238.66,18.75,1039.5,
8,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Rice,6998,17768,26.66,44.92,12.15,1011.85,51.66,6.83,449,
9,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Rice,28114,59377,29,228.58,18.52,1006.97,256,26.66,978,
10,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Rice,12283,28558,27.5,128.11,13.1,1012.03,56.33,7,430.5,
11,Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Rice,22658,68155,29.25,201.15,18.2,1008,244,24.66,1037.5,
12,Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Rice,6553,14377,27,46.04,71.7,1012.83,51.16,7,450,
13,Andhra Pradesh,ANANTAPUR,2014,Whole Year ,Rice,29211,82532,29.5,,15.15,1009.6,51.25,7.16,,
14,Andhra Pradesh,CHITTOOR,2010,Kharif     ,Rice,18019,53639,26.75,390.51,8.55,1006.4,76.58,5.83,1093.5,
15,Andhra Pradesh,CHITTOOR,2010,Rabi       ,Rice,43558,131502,24.5,361.6,7.41,1010.16,74.83,6,398.5,
16,Andhra Pradesh,CHITTOOR,2011,Kharif     ,Rice,17342,55719,27.25,327.94,11.17,1006.7,306.33,5.83,1108,
17,Andhra Pradesh,CHITTOOR,2011,Rabi       ,Rice,33764,113211,24.66,140.02,7.8,1011.1,71,6.16,382.5,
